contrast,metric,difference,ci_low,ci_high,bootstrap_replicates
Pointwise-D minus STRATUS-D,mae,-1.2830010840821116,-1.3929456536923144,-1.1518160342994272,2000
Pointwise-D minus STRATUS-D,rmse,-9.752538420870387,-10.450802942506744,-8.908473590120664,2000
Pointwise-D minus STRATUS-D,retention,0.0,0.0,0.0,2000
Pointwise-D minus STRATUS-D,long_hallucination,0.0,0.0,0.0,2000
Pointwise-D minus STRATUS-D,short_recovery,0.0,0.0,0.0,2000
Pointwise-D minus STRATUS-D,movement_preservation,0.029809516789931934,0.013803399241857136,0.048048640656526,2000
Pointwise-D minus STRATUS-D,stable_preservation,0.0005425493975833584,0.00016674353199096632,0.0012754588516658088,2000
Pointwise-D minus STRATUS-D,unstable_repair_gain,0.17326358963324973,0.1625624876883316,0.18209099687239721,2000
Pointwise-D minus STRATUS-D,unstable_repair_score,0.17373818209446162,0.16292033992934318,0.18240875713658425,2000
Pointwise-D minus STRATUS-D,plausibility_score,0.00045413546987060904,0.0,0.001349062535541845,2000
Pointwise-D minus STRATUS-D,long_gap_conservatism,0.0,0.0,0.0,2000
Pointwise-D minus STRATUS-D,local_action_score,0.04081804965639546,0.0369188305708352,0.04467615973630759,2000
