method,regime,mean_f1,std_f1,evaluated_cases,total_support
Pointwise-D,LossLong,1.0,0.0,840,87100
Pointwise-D,LossShort,1.0,0.0,840,27240
Pointwise-D,Stable,0.9517080116062243,0.05885451539170374,2100,1252994
Pointwise-D,Movement,0.7489468481854549,0.2087159238479726,2100,145607
Pointwise-D,Unstable,0.31097653488649707,0.2883231158669926,1260,65809
STRATUS-D,LossLong,1.0,0.0,840,87100
STRATUS-D,LossShort,1.0,0.0,840,27240
STRATUS-D,Stable,0.9400907631119593,0.05884427581723947,2100,1252994
STRATUS-D,Movement,0.6333020164234974,0.2020038159243435,2100,145607
STRATUS-D,Unstable,0.2099244508428165,0.24725274822916032,1260,65809
