dataset,corruption,method,mae,rmse,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_score,Q_local
Autism,jitter,STRATUS-H,4.302552993186595,17.786212800578454,,,0.8010232238455008,0.8995185590491205,0.3078732635256262,0.6694716821400825
Autism,jitter,Hybrid-P,4.792948765252142,18.355478659789444,,,0.7891865362886786,0.8689670890511418,0.2750501732415703,0.644401266193797
Autism,jitter,Pointwise-D,2.7805635810629585,15.623237280594909,,,0.8954750687738405,0.9604953491018912,0.0059346510102199,0.6206350229619839
Autism,jitter,STRATUS-D,2.366883465567197,13.44206937051368,,,0.946856235979723,0.9596763482828904,0.003607667879774,0.6367134173807958
Autism,long_gap,STRATUS-H,4.20433157201632,19.24270909813706,0.0,,0.7775205848745975,0.8876100775479785,,0.888376887474192
Autism,long_gap,Hybrid-P,4.624547134678608,19.681366559906976,0.0,,0.7680981415405349,0.8621334656215183,,0.8767438690540178
Autism,long_gap,Pointwise-D,1.442006034262468,15.019609212009897,0.0,,0.912191005078718,0.9714577612050552,,0.9612162554279244
Autism,long_gap,STRATUS-D,1.1255700445400445,12.65178274698382,0.0,,0.9492918303609312,0.970871678582375,,0.9733878363144356
Autism,mixed,STRATUS-H,11.994195354764283,42.40252498943727,0.0,1.0,0.729728647822448,0.8952309608062817,0.9038069297678332,0.9057533076793124
Autism,mixed,Hybrid-P,12.52048221410466,42.744942455506845,0.0,1.0,0.7065076778162122,0.8654833961594514,0.9076209840201463,0.8959224115991621
Autism,mixed,Pointwise-D,12.165757042981893,57.73541852778704,0.0,1.0,0.9523001154947224,0.9670661395205292,0.6717281233351193,0.9182188756700742
Autism,mixed,STRATUS-D,15.687180379169495,80.12099436898488,0.0,1.0,0.9195904889759704,0.9657306093953528,0.4682536745752617,0.870714954589317
Autism,short_gap,STRATUS-H,6.022160973638176,24.30631480372326,,1.0,0.7932882514467413,0.8823826821419288,,0.8918903111962234
Autism,short_gap,Hybrid-P,6.362177847755165,24.636098165757925,,1.0,0.7840606258601344,0.8543492715385489,,0.879469965799561
Autism,short_gap,Pointwise-D,3.606036374855571,20.94728551740429,,1.0,0.9150489408820194,0.9623176910486934,,0.959122210643571
Autism,short_gap,STRATUS-D,3.244651821894773,19.01728121595696,,1.0,0.954800479977114,0.9615337805081032,,0.972111420161739
Autism,spike,STRATUS-H,4.846015207756929,22.315014052463884,,,0.7660860555278678,0.8810443435116101,0.9612969796824224,0.8694757929073001
Autism,spike,Hybrid-P,5.276601797893869,22.596402952766194,,,0.7498665381481944,0.8517855883616808,0.9685770175773268,0.8567430480290673
Autism,spike,Pointwise-D,3.825959767026913,34.407196787939014,,,0.9616744008018606,0.9632580425023114,0.7783050923682087,0.9010791785574602
Autism,spike,STRATUS-D,6.9574252770897145,58.382176410242025,,,0.947072429833089,0.9621444195712492,0.5149784249983275,0.8080650914675552
ETDD70,jitter,STRATUS-H,0.6567171527003071,2.6107177493412177,,,0.9948065821182922,0.9987568252792351,0.5277252052506208,0.8404295375493828
