dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,17,Autism__17__seg4,short_gap,low,0,Pointwise-D,1.440769229294078,13.318911204733617,1.0,,1.0,0.9159767250358144,0.9943661971830986,,,1.0,,0.9701143074063042
Autism,17,Autism__17__seg4,short_gap,low,0,STRATUS-D,1.440769229294078,13.318911204733617,1.0,,1.0,0.9159767250358144,0.9943661971830986,,,1.0,,0.9701143074063042
Autism,17,Autism__17__seg4,short_gap,low,0,Hybrid-P,4.30146434164583,16.35701333925376,1.0,,1.0,0.8305519369027395,0.8647887323943662,,,1.0,,0.8984468897657019
Autism,17,Autism__17__seg4,short_gap,low,0,STRATUS-H,4.349714441538814,15.780301883051957,1.0,,1.0,0.8421308058895876,0.856338028169014,,,1.0,,0.8994896113528673
Autism,17,Autism__17__seg4,long_gap,low,0,Pointwise-D,0.7747944590126241,7.67816038731501,0.9207920792079208,0.0,,0.9342082432234672,0.9969788519637462,,,1.0,1.0,0.9770623650624044
Autism,17,Autism__17__seg4,long_gap,low,0,STRATUS-D,0.5710828577924117,6.747713963377462,0.9207920792079208,0.0,,0.9540618703589768,0.9969788519637462,,,1.0,1.0,0.983680240774241
Autism,17,Autism__17__seg4,long_gap,low,0,Hybrid-P,3.8324653508390023,12.205355619120388,0.9207920792079208,0.0,,0.8566769009997527,0.8610271903323263,,,1.0,1.0,0.9059013637773596
Autism,17,Autism__17__seg4,long_gap,low,0,STRATUS-H,3.991389481865375,11.607228348658577,0.9207920792079208,0.0,,0.855132758135025,0.8459214501510574,,,1.0,1.0,0.9003514027620274
Autism,17,Autism__17__seg4,jitter,low,0,Pointwise-D,1.604149058700688,8.552363455667697,1.0,,,0.9144521654311242,0.997005988023952,0.0,0.0,1.0,,0.6371527178183588
Autism,17,Autism__17__seg4,jitter,low,0,STRATUS-D,1.2562754724062408,7.09948463265299,1.0,,,0.9484043889257096,0.997005988023952,0.0,0.0,1.0,,0.6484701256498873
Autism,17,Autism__17__seg4,jitter,low,0,Hybrid-P,4.089589004345164,11.96426207033412,1.0,,,0.8383359458079599,0.8712574850299402,0.0206122407569264,0.0206122407569264,1.0,,0.5767352238649421
Autism,17,Autism__17__seg4,jitter,low,0,STRATUS-H,3.5245062240052807,10.44322716767852,1.0,,,0.8664837800811278,0.9041916167664672,0.0184083096273101,0.0184083096273101,1.0,,0.596361235491635
Autism,17,Autism__17__seg4,spike,low,0,Pointwise-D,2.52924100219534,26.655700343329976,1.0,,,0.9689620672270318,0.9971988795518208,0.6758125504457653,0.6758125504457653,1.0,,0.880657832408206
Autism,17,Autism__17__seg4,spike,low,0,STRATUS-D,7.24786627746732,61.81196441271382,1.0,,,0.9689620672270318,0.9971988795518208,0.0,0.0,1.0,,0.6553869822596176
Autism,17,Autism__17__seg4,spike,low,0,Hybrid-P,5.2241758192560575,23.62357475499538,1.0,,,0.7858275603061993,0.8599439775910365,0.983396399947716,0.983396399947716,1.0,,0.8763893126149839
Autism,17,Autism__17__seg4,spike,low,0,STRATUS-H,4.750167980391783,23.10870343583238,1.0,,,0.7793914166319971,0.9019607843137256,0.983396399947716,0.983396399947716,1.0,,0.8882495336311461
Autism,17,Autism__17__seg4,mixed,low,0,Pointwise-D,4.864376703342964,38.58453855463279,0.9207920792079208,0.0,1.0,0.9432101696260864,0.9965277777777778,0.5437124918812406,0.5437124918812406,1.0,1.0,0.896690087857021
Autism,17,Autism__17__seg4,mixed,low,0,STRATUS-D,6.278393610312611,47.95417118977521,0.9207920792079208,0.0,1.0,0.9432101696260864,0.9965277777777778,0.3894418216567685,0.3894418216567685,1.0,1.0,0.8658359538121264
Autism,17,Autism__17__seg4,mixed,low,0,Hybrid-P,6.399636075990858,19.577606042698186,0.9207920792079208,0.0,1.0,0.798460986968741,0.84375,0.8973515356102482,0.8973515356102482,1.0,1.0,0.907912504515798
Autism,17,Autism__17__seg4,mixed,low,0,STRATUS-H,6.216308983523988,18.8697615509583,0.9207920792079208,0.0,1.0,0.8181846703354168,0.84375,0.8971607955270908,0.8971607955270908,1.0,1.0,0.9118190931725016
Autism,17,Autism__17__seg4,short_gap,medium,0,Pointwise-D,8.131351080646398,44.86589650860417,1.0,,1.0,0.9267398912227144,0.9971428571428572,,,1.0,,0.9746275827885236
Autism,17,Autism__17__seg4,short_gap,medium,0,STRATUS-D,7.9569403983347184,44.72873079726936,1.0,,1.0,0.9486171792283,0.9971428571428572,,,1.0,,0.9819200121237188
Autism,17,Autism__17__seg4,short_gap,medium,0,Hybrid-P,10.607657379770147,45.58112666251654,1.0,,1.0,0.8733917791434382,0.8685714285714285,,,1.0,,0.9139877359049556
Autism,17,Autism__17__seg4,short_gap,medium,0,STRATUS-H,10.879050957114108,45.52311406769549,1.0,,1.0,0.8670344268560315,0.8571428571428571,,,1.0,,0.9080590946662962
Autism,17,Autism__17__seg4,long_gap,medium,0,Pointwise-D,0.8234958250077034,7.915796622522771,0.8663366336633663,0.0,,0.9342082432234672,0.9967637540453076,,,1.0,1.0,0.9769906657562584
Autism,17,Autism__17__seg4,long_gap,medium,0,STRATUS-D,0.6069794945679348,6.956553224558434,0.8663366336633663,0.0,,0.9540618703589768,0.9967637540453076,,,1.0,1.0,0.9836085414680948
Autism,17,Autism__17__seg4,long_gap,medium,0,Hybrid-P,4.058148619998207,12.588818395131453,0.8663366336633663,0.0,,0.8566769009997527,0.8543689320388349,,,1.0,1.0,0.903681944346196
Autism,17,Autism__17__seg4,long_gap,medium,0,STRATUS-H,4.824084891864229,12.779724969035916,0.8663366336633663,0.0,,0.8304526551655359,0.8187702265372169,,,1.0,1.0,0.8830742939009175
