dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,17,Autism__17__seg4,short_gap,low,0,Pointwise-D,0.8036968602739996,7.415728062752191,1.0,,1.0,0.9411570155263014,0.9970414201183432,,,1.0,,0.9793994785482149
Autism,17,Autism__17__seg4,short_gap,low,0,STRATUS-D,0.6161208314276653,6.529447761438461,1.0,,1.0,0.9589137487482068,0.9970414201183432,,,1.0,,0.9853183896221832
Autism,17,Autism__17__seg4,short_gap,low,0,Hybrid-P,3.541395733251379,11.67367435181719,1.0,,1.0,0.8440330616823837,0.8875739644970414,,,1.0,,0.9105356753931416
Autism,17,Autism__17__seg4,short_gap,low,0,STRATUS-H,3.756597447146958,11.023291697964504,1.0,,1.0,0.8203231584202335,0.8816568047337278,,,1.0,,0.900659987717987
Autism,17,Autism__17__seg4,long_gap,low,0,Pointwise-D,0.7685961033405232,7.647386073546093,0.9282178217821784,0.0,,0.934358479256422,0.9968553459119496,,,1.0,1.0,0.977071275056124
Autism,17,Autism__17__seg4,long_gap,low,0,STRATUS-D,0.5665141949300724,6.7206689087996825,0.9282178217821784,0.0,,0.9541667704664792,0.9968553459119496,,,1.0,1.0,0.9836740387928096
Autism,17,Autism__17__seg4,long_gap,low,0,Hybrid-P,3.4354369269467018,11.491047315044296,0.9282178217821784,0.0,,0.8423240962474446,0.889937106918239,,,1.0,1.0,0.9107537343885612
Autism,17,Autism__17__seg4,long_gap,low,0,STRATUS-H,3.0128185507355267,10.417956979813908,0.9282178217821784,0.0,,0.8438866193703097,0.9276729559748428,,,1.0,1.0,0.9238531917817174
Autism,17,Autism__17__seg4,jitter,low,0,Pointwise-D,0.9434114382732024,8.0678097480343,1.0,,,0.9318771548207307,0.9970326409495548,0.0,0.0,1.0,,0.6429699319234286
Autism,17,Autism__17__seg4,jitter,low,0,STRATUS-D,0.5955378519787553,6.507635169699735,1.0,,,0.9589137487482068,0.9970326409495548,0.0,0.0,1.0,,0.651982129899254
Autism,17,Autism__17__seg4,jitter,low,0,Hybrid-P,3.532829599521957,11.663989015580231,1.0,,,0.8440330616823837,0.884272997032641,0.0,0.0,1.0,,0.576102019571675
Autism,17,Autism__17__seg4,jitter,low,0,STRATUS-H,3.736014467698048,11.01038542881094,1.0,,,0.8203231584202335,0.8813056379821959,0.0,0.0,1.0,,0.5672095988008098
Autism,17,Autism__17__seg4,spike,low,0,Pointwise-D,0.340312287712471,3.8822789938468314,1.0,,,0.9725705405668288,1.0,0.986326745834297,0.986326745834297,1.0,,0.986299095467042
Autism,17,Autism__17__seg4,spike,low,0,STRATUS-D,0.340312287712471,3.8822789938468314,1.0,,,0.9725705405668288,1.0,0.986326745834297,0.986326745834297,1.0,,0.986299095467042
Autism,17,Autism__17__seg4,spike,low,0,Hybrid-P,3.740361533725002,12.059346313262305,1.0,,,0.8290948877934258,0.8938053097345132,0.986326745834297,0.986326745834297,1.0,,0.903075647787412
Autism,17,Autism__17__seg4,spike,low,0,STRATUS-H,4.00321956441671,11.63196715683649,1.0,,,0.7920096264470554,0.8938053097345132,0.986326745834297,0.986326745834297,1.0,,0.8907138940052887
Autism,17,Autism__17__seg4,mixed,low,0,Pointwise-D,0.5754775490113216,4.163842863549452,0.905940594059406,0.0,1.0,0.9709631221412064,1.0,0.8295546208821452,0.8295546208821452,1.0,1.0,0.9601035486046704
Autism,17,Autism__17__seg4,mixed,low,0,STRATUS-D,2.1507927412853856,24.91641448918605,0.905940594059406,0.0,1.0,0.9836656835257088,1.0,0.0,0.0,1.0,1.0,0.7967331367051418
Autism,17,Autism__17__seg4,mixed,low,0,Hybrid-P,4.304352570104857,13.483460284354944,0.905940594059406,0.0,1.0,0.812192167109886,0.8817567567567568,0.8295546208821452,0.8295546208821452,1.0,1.0,0.9047007089497576
Autism,17,Autism__17__seg4,mixed,low,0,STRATUS-H,3.5141459823938885,12.13605788439124,0.905940594059406,0.0,1.0,0.8363729614042806,0.9324324324324323,0.8295546208821452,0.8295546208821452,1.0,1.0,0.9196720029437716
Autism,17,Autism__17__seg4,short_gap,medium,0,Pointwise-D,0.8373090415820468,7.427120519473194,1.0,,1.0,0.9411570155263014,0.997005988023952,,,1.0,,0.9793876678500846
Autism,17,Autism__17__seg4,short_gap,medium,0,STRATUS-D,0.6497330127357125,6.5423837077508,1.0,,1.0,0.9589137487482068,0.997005988023952,,,1.0,,0.985306578924053
Autism,17,Autism__17__seg4,short_gap,medium,0,Hybrid-P,3.575007914559426,11.680914749383454,1.0,,1.0,0.8440330616823837,0.8862275449101796,,,1.0,,0.9100868688641878
Autism,17,Autism__17__seg4,short_gap,medium,0,STRATUS-H,3.790209628455005,11.030958995867154,1.0,,1.0,0.8203231584202335,0.8802395209580839,,,1.0,,0.9001875597927724
Autism,17,Autism__17__seg4,long_gap,medium,0,Pointwise-D,0.8141907874369949,7.870947555502386,0.8762376237623762,0.0,,0.934358479256422,0.9966329966329966,,,1.0,1.0,0.9769971586298062
Autism,17,Autism__17__seg4,long_gap,medium,0,STRATUS-D,0.6001209692055852,6.917139008064874,0.8762376237623762,0.0,,0.9541667704664792,0.9966329966329966,,,1.0,1.0,0.983599922366492
