method,score,weighting,evaluation,rank
STRATUS-H,0.9199672445287026,equal,matched,1
Hybrid-P,0.9142604901099738,equal,matched,2
Pointwise-D,0.8816428069738107,equal,matched,3
STRATUS-D,0.8408247573174151,equal,matched,4
STRATUS-H,0.9315287958317524,safety_heavy,matched,1
Hybrid-P,0.9278212105548672,safety_heavy,matched,2
Pointwise-D,0.8883291207811261,safety_heavy,matched,3
STRATUS-D,0.8490558019039857,safety_heavy,matched,4
STRATUS-H,0.8527733826116377,repair_heavy,matched,1
Hybrid-P,0.8475767823925692,repair_heavy,matched,2
Pointwise-D,0.7214904761322758,repair_heavy,matched,3
STRATUS-D,0.6214087935220737,repair_heavy,matched,4
STRATUS-H,0.9139797344228018,no_stable,matched,1
Hybrid-P,0.9107722761867574,no_stable,matched,2
Pointwise-D,0.8567090469345686,no_stable,matched,3
STRATUS-D,0.8058221222134703,no_stable,matched,4
STRATUS-H,0.8666120742145043,finite_only,matched,1
Hybrid-P,0.8571008168499561,finite_only,matched,2
Pointwise-D,0.8027380116230174,finite_only,matched,3
STRATUS-D,0.7347079288623585,finite_only,matched,4
