method,score,weighting,evaluation,rank
STRATUS-H,0.906535634268274,equal,shifted,1
Hybrid-P,0.903080919791589,equal,shifted,2
Pointwise-D,0.9015813268286604,equal,shifted,3
STRATUS-D,0.8699516157353143,equal,shifted,4
STRATUS-H,0.9173043525244716,safety_heavy,shifted,1
Hybrid-P,0.9159446531075612,safety_heavy,shifted,2
Pointwise-D,0.9064993330217844,safety_heavy,shifted,3
STRATUS-D,0.8758197302629895,safety_heavy,shifted,4
STRATUS-H,0.8112773270083766,repair_heavy,shifted,2
Hybrid-P,0.8129010809803269,repair_heavy,shifted,1
Pointwise-D,0.7614819294570819,repair_heavy,shifted,3
STRATUS-D,0.6820191960246035,repair_heavy,shifted,4
STRATUS-H,0.8959162666060261,no_stable,shifted,1
Hybrid-P,0.8956235175782872,no_stable,shifted,2
Pointwise-D,0.8821272077263451,no_stable,shifted,3
STRATUS-D,0.8426485650040803,no_stable,shifted,4
STRATUS-H,0.8442260571137896,finite_only,shifted,1
Hybrid-P,0.8384681996526482,finite_only,shifted,2
Pointwise-D,0.8359688780477671,finite_only,shifted,3
STRATUS-D,0.7832526928921906,finite_only,shifted,4
