dataset,participant_id,split
ETDD70,1009,train
ETDD70,1016,train
ETDD70,1019,train
ETDD70,1021,train
ETDD70,1040,train
ETDD70,1058,train
ETDD70,1065,train
ETDD70,1003,test
ETDD70,1033,test
ETDD70,1038,test
Autism,1,train
Autism,10,train
Autism,11,train
Autism,15,train
Autism,19,train
Autism,20,train
Autism,22,train
Autism,24,train
Autism,26,train
Autism,30,train
Autism,31,train
Autism,32,train
Autism,35,train
Autism,36,train
Autism,38,train
Autism,39,train
Autism,40,train
Autism,44,train
Autism,49,train
Autism,54,train
Autism,55,train
Autism,56,train
Autism,57,train
Autism,59,train
Autism,6,train
Autism,Unidentified(Neg),train
Autism,17,test
Autism,18,test
Autism,2,test
Autism,23,test
Autism,37,test
Autism,46,test
Autism,50,test
Autism,52,test
Autism,53,test
Autism,58,test
Autism,Unidentified(Pos),test
