method,regime,mean_f1,std_f1,evaluated_cases,total_support
Oracle_policy,LossLong,1.0,0.0,840,87100
Oracle_policy,LossShort,1.0,0.0,840,27240
Oracle_policy,Movement,1.0,0.0,2100,145607
Oracle_policy,Stable,1.0,0.0,2100,1252994
Oracle_policy,Unstable,1.0,0.0,1260,65809
STRATUS-BW,LossLong,0.9323362973362973,0.06770495500853886,840,87100
STRATUS-BW,Stable,0.626621961242581,0.2694838176723874,2100,1252994
STRATUS-BW,Movement,0.3003178812236629,0.12378173667072623,2100,145607
STRATUS-BW,Unstable,0.26101116849133016,0.28467527795666536,1260,65809
STRATUS-BW,LossShort,0.0,0.0,840,27240
STRATUS-D,LossLong,1.0,0.0,840,87100
STRATUS-D,LossShort,1.0,0.0,840,27240
STRATUS-D,Stable,0.9400907631119593,0.05884427581723947,2100,1252994
STRATUS-D,Movement,0.6333020164234974,0.2020038159243435,2100,145607
STRATUS-D,Unstable,0.2099244508428165,0.24725274822916032,1260,65809
