severity,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_gap_conservatism,local_action_score
high,Oracle_policy,3.5917290262501753,15.227634723097434,0.9205666986476404,0.0,1.0,0.9909351695209289,1.0,0.797548187552722,0.797548187552722,0.9765933497435803,1.0,0.9576966714147301
high,STRATUS-BW,7.147226510106909,44.86271077427768,0.8957437919750281,0.0,0.0,0.8793534293746994,0.9608015102172075,0.46389734217781725,0.46389734217781725,0.974817034047074,1.0,0.6608104563539449
high,STRATUS-D,7.611643859848161,41.92645624927257,0.9205666986476404,0.0,1.0,0.9020881757681138,0.9713988581878398,0.5187205842834246,0.5188863026723647,0.9769120324054971,1.0,0.8784746673256636
high,global_interpolate,27.260075205549445,108.38979742275073,1.0,1.0,1.0,0.8169218411381405,1.0,0.0,0.0,0.9682067273944583,0.0,0.563384368227628
high,global_smooth,30.834001428600402,58.27003605477388,0.9054611392659483,0.06124999999999999,0.19599999999999998,0.37942097696399246,0.0,0.6362242081578173,0.6620353934922943,0.9782746320624197,0.93875,0.43524127409125735
high,interp_smooth,38.94789148104197,74.25985355816759,1.0,1.0,1.0,0.3805981813668992,0.0,0.6353415343772171,0.6611527197116941,0.9789436344241975,0.0,0.40835018021571867
high,raw_degraded,17.795531048395546,92.38867371549043,0.8957437919750281,0.0,0.0,0.8169218411381405,1.0,0.0,0.0,0.9659157883070637,1.0,0.563384368227628
high,robust_clip,13.41516163990183,64.50550223418563,0.8957437919750281,0.0,0.0,0.8429740543489199,0.9747763054800633,0.18802007459426923,0.18802007459426923,1.0,1.0,0.6011540868846506
high,short_gap_only,19.815720991453517,96.5712711758853,0.9205666986476404,0.0,1.0,0.8169218411381405,1.0,0.0,0.0,0.966142986243666,1.0,0.763384368227628
low,Oracle_policy,0.7214090320937149,4.49530248831222,0.9682504394828162,0.0,1.0,0.9965723769151132,1.0,0.7065990950050434,0.7190893068020541,0.9758068836049459,1.0,0.9431323367434334
low,STRATUS-BW,2.765874702599192,22.522261097623275,0.9583212768137712,0.0,0.0,0.9567022732366054,0.9682248625876009,0.19862707436777338,0.19862707436777338,0.9756864017003365,1.0,0.624710842038396
low,STRATUS-D,3.5195351190385424,27.670021185470823,0.9682504394828162,0.0,1.0,0.9257739871576443,0.9705007382761812,0.13280408998205284,0.13317648645110822,0.9760925446595305,1.0,0.8058902423769867
low,global_interpolate,5.333081774437369,31.063035993746734,1.0,1.0,1.0,0.9364564895389674,1.0,0.0,0.0,0.9737550184869617,0.0,0.5872912979077934
low,global_smooth,18.569578744880058,36.81220802154845,0.9680386241046915,0.1532424812030075,0.48999999999999994,0.3960738606662678,0.0,0.4346637790905834,0.5956944249002152,0.9776840047779296,0.8467575187969925,0.4657051608726951
low,interp_smooth,19.9545505973898,39.335099188398175,1.0,1.0,1.0,0.3976461271612072,0.0,0.4322225970574272,0.5932532428670589,0.9765254854858815,0.0,0.39817987400565324
low,raw_degraded,3.1280707998395325,25.488553265826685,0.9583212768137712,0.0,0.0,0.9367664860416088,1.0,0.0,0.0,0.974972789209097,1.0,0.5873532972083217
low,robust_clip,3.5904348980652063,25.690541038366792,0.9583212768137712,0.0,0.0,0.938070712693698,0.9732299445392477,0.017497989946719795,0.017497989946719795,1.0,1.0,0.5857597294359331
low,short_gap_only,3.462816563677368,26.578059367991056,0.9682504394828162,0.0,1.0,0.9367664860416088,1.0,0.0,0.0,0.9751810817234635,1.0,0.7873532972083217
medium,Oracle_policy,1.3679787619103343,7.267809823046564,0.9462850129182201,0.0,1.0,0.9939448127418068,1.0,0.7712969963912885,0.7716050001413164,0.9770758086326686,1.0,0.9531099625766245
medium,STRATUS-BW,4.572244932607026,33.48476053658444,0.9294291964046036,0.0,0.0,0.9171084536832851,0.9655099009428284,0.3649451618919201,0.3649451618919201,0.976007828690757,1.0,0.6495127033036067
medium,STRATUS-D,5.177275771265761,35.08614469581017,0.9462850129182201,0.0,1.0,0.9129441415776987,0.9717309873666479,0.3611658325857554,0.361305618630609,0.9773843356078151,1.0,0.849196149514991
medium,global_interpolate,11.712019692648484,58.71370766591126,1.0,1.0,1.0,0.8859429293481045,1.0,0.0,0.0,0.9705011490108676,0.0,0.5771885858696209
medium,global_smooth,22.629602872885812,43.525080234667826,0.939146543695524,0.09068537671478848,0.288655462184874,0.39570359617103373,0.0,0.5827986319587488,0.6427715596202194,0.978869567475618,0.9093146232852115,0.44728904825226773
medium,interp_smooth,25.202659861616993,48.141617548969684,1.0,1.0,1.0,0.3965109191043818,0.0,0.5824704558903891,0.6424433835518597,0.976646564089987,0.0,0.40779086053124836
medium,raw_degraded,8.05968966651952,51.3675042791709,0.9294291964046036,0.0,0.0,0.8859379649759299,1.0,0.0,0.0,0.9723622312088442,1.0,0.577187592995186
medium,robust_clip,7.571610285722058,44.596383887317224,0.9294291964046036,0.0,0.0,0.8938313175480008,0.9744321446847848,0.0866377074136955,0.0866377074136955,1.0,1.0,0.5909802339292962
medium,short_gap_only,8.702945997901613,53.43250459197997,0.9462850129182201,0.0,1.0,0.8859379649759299,1.0,0.0,0.0,0.9728415915991314,1.0,0.777187592995186
